,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,quarter(10yrs),ScripCode,Revenue,Financing Profit,Financing Margin %
615,15730,13379,2351,15%,1642,15,806,3173,25%,2388,49.54,20%,Mar 2015,541154,,,
616,16758,14281,2478,15%,1598,6,863,3207,38%,1998,55.27,31%,Mar 2016,541154,,,
617,17950,14714,3236,18%,1044,16,681,3583,27%,2616,72.35,31%,Mar 2017,541154,,,
618,18519,15059,3460,19%,761,35,947,3240,39%,1987,59.43,54%,Mar 2018,541154,,,
619,20008,15440,4569,23%,376,177,1024,3742,37%,2346,70.16,28%,Mar 2019,541154,,,
620,21445,16565,4880,23%,415,359,998,3938,28%,2842,84.99,39%,Mar 2020,541154,,,
621,22882,17541,5341,23%,360,267,1157,4277,24%,3239,96.88,31%,Mar 2021,541154,,,
622,24620,19200,5420,22%,986,65,1110,5231,3%,5086,152.11,26%,Mar 2022,541154,,,
623,26928,20265,6663,25%,1672,58,1784,6493,10%,5811,173.79,23%,Mar 2023,541154,,,
624,5684,5094,590,10%,141,8,64,660,25%,497,11.44,14%,Dec 2011,505200,,,
625,6390,5840,550,9%,136,4,82,600,21%,475,12.01,17%,Dec 2012,505200,,,
626,6810,6094,715,11%,93,8,130,671,22%,525,14.57,21%,Dec 2013,505200,,,
627,8738,7621,1118,13%,105,10,220,993,29%,702,22.71,22%,Dec 2014,505200,,,
628,6173,4484,1690,27%,326,2,137,1877,29%,1338,49.27,20%,Mar 2016,505200,,,
629,7033,4859,2174,31%,416,4,154,2433,30%,1667,61.27,16%,Mar 2017,505200,,,
630,8965,6156,2809,31%,536,5,223,3116,30%,1960,71.89,15%,Mar 2018,505200,,,
631,9797,6893,2904,30%,701,7,300,3297,33%,2203,80.75,15%,Mar 2019,505200,,,
632,9154,6971,2183,24%,572,19,382,2355,22%,1827,66.91,19%,Mar 2020,505200,,,
633,8720,6937,1783,20%,482,16,451,1798,25%,1347,49.28,34%,Mar 2021,505200,,,
634,10298,8120,2178,21%,496,19,452,2203,24%,1677,61.32,34%,Mar 2022,505200,,,
635,14442,10999,3444,24%,910,28,526,3800,23%,2914,106.55,35%,Mar 2023,505200,,,
636,4035,2661,1373,34%,-45,738,590,0,"86,718%",-294,-1.32,0%,Mar 2012,533096,,,
637,6692,5732,960,14%,215,1703,1290,-1818,-26%,-2295,-9.59,0%,Mar 2013,533096,,,
638,15328,10735,4593,30%,137,4162,1937,-1370,79%,-291,-1.01,0%,Mar 2014,533096,,,
639,18683,14005,4678,25%,1188,4864,1818,-816,0%,-816,-2.84,0%,Mar 2015,533096,,,
640,25377,16575,8802,35%,-201,5560,2666,375,-47%,551,1.65,0%,Mar 2016,533096,,,
641,22616,16635,5980,26%,-3666,5902,2672,-6260,1%,-6174,-16.01,0%,Mar 2017,533096,,,
642,20304,14868,5436,27%,754,5570,2699,-2079,0%,-2103,-5.45,0%,Mar 2018,533096,,,
643,23884,18901,4983,21%,2448,5657,2751,-976,-1%,-984,-2.55,0%,Mar 2019,533096,,,
644,26468,20734,5734,22%,323,5315,3006,-2265,-0%,-2275,-5.90,0%,Mar 2020,533096,,,
645,26221,17533,8688,33%,1909,5106,3202,2289,45%,1270,3.29,0%,Mar 2021,533096,,,
646,27711,17830,9881,36%,3908,4095,3118,6577,25%,4912,12.73,0%,Mar 2022,533096,,,
647,38773,28729,10045,26%,4267,3334,3304,7675,-40%,10727,27.81,0%,Mar 2023,533096,,,
648,,1449,,,1012,3655,75,1192,33%,803,17.17,13%,Mar 2012,532187,5359,255,5%
649,,1947,,,1363,4750,73,1576,33%,1061,20.30,15%,Mar 2013,532187,6983,286,4%
650,,2555,,,1891,5363,98,2128,34%,1408,26.80,13%,Mar 2014,532187,8254,335,4%
651,,3133,,,2548,6272,127,2709,34%,1794,33.88,12%,Mar 2015,532187,9692,288,3%
652,,4188,,,3297,7355,157,3469,34%,2286,38.43,12%,Mar 2016,532187,11872,329,3%
653,,5684,,,4171,8343,191,4360,34%,2868,47.95,13%,Mar 2017,532187,14406,379,3%
654,,6555,,,4750,9783,212,5481,34%,3606,60.08,12%,Mar 2018,532187,17281,942,5%
655,,9283,,,5647,13415,229,4981,34%,3301,54.77,14%,Mar 2019,532187,22261,-437,-2%
656,,12611,,,6951,16724,278,6121,28%,4418,63.70,0%,Mar 2020,532187,28783,-553,-2%
657,,15997,,,6559,15472,305,3784,25%,2836,36.68,14%,Mar 2021,532187,29000,-2469,-9%
658,,15903,,,7397,15822,321,6174,25%,4611,59.52,14%,Mar 2022,532187,30822,-902,-3%
659,,15899,,,8166,18776,0,9860,25%,7390,95.24,15%,Mar 2023,532187,36368,1693,5%
660,,8216,,,4051,19724,295,6304,17%,5269,25.53,13%,Mar 2012,532134,30488,2548,8%
661,,10950,,,4511,24486,322,5195,9%,4829,22.81,19%,Mar 2013,532134,36442,1006,3%
662,,12049,,,5555,27604,368,5996,18%,5036,23.29,19%,Mar 2014,532134,40463,809,2%
663,,13466,,,5449,30547,368,5983,36%,3950,17.69,18%,Mar 2015,532134,44915,902,2%
664,,25391,,,5992,32107,525,-6233,19%,-5033,-21.99,0%,Mar 2016,532134,45799,-11700,-26%
665,,19250,,,7937,29596,540,3024,41%,1855,7.88,15%,Mar 2017,532134,44473,-4372,-10%
666,,26093,,,7992,29160,901,-2106,9%,-1836,-7.13,0%,Mar 2018,532134,46056,-9197,-20%
667,,25815,,,7887,32506,948,1525,29%,1166,4.16,0%,Mar 2019,532134,52906,-5414,-10%
668,,40583,,,12191,50040,1697,-1234,176%,981,2.01,0%,Mar 2020,532134,78895,-11728,-15%
669,,38636,,,15254,43201,1357,6373,77%,1620,2.99,0%,Mar 2021,532134,74314,-7523,-10%
670,,37518,,,14395,38815,1438,10008,23%,7933,15.18,19%,Mar 2022,532134,73385,-2948,-4%
671,,40271,,,16639,49942,0,20565,29%,15005,28.82,19%,Mar 2023,532134,94139,3925,4%
672,5294,4401,893,17%,55,54,103,790,19%,644,3.70,38%,Mar 2012,500096,,,
673,6140,5148,992,16%,100,59,85,948,19%,766,4.38,34%,Mar 2013,500096,,,
674,7058,5897,1162,16%,126,54,97,1136,19%,916,5.24,33%,Mar 2014,500096,,,
675,7795,6475,1320,17%,154,40,115,1319,19%,1068,6.07,33%,Mar 2015,500096,,,
676,7780,6261,1518,20%,217,48,133,1554,19%,1254,7.11,32%,Mar 2016,500096,,,
677,7614,6102,1512,20%,296,54,143,1611,21%,1280,7.25,31%,Mar 2017,500096,,,
678,7722,6104,1617,21%,291,53,162,1693,20%,1358,7.69,81%,Mar 2018,500096,,,
679,8515,6775,1740,20%,222,60,177,1725,16%,1446,8.17,34%,Mar 2019,500096,,,
680,8685,6892,1792,21%,205,50,220,1728,16%,1448,8.18,37%,Mar 2020,500096,,,
681,9562,7560,2002,21%,325,31,240,2056,18%,1695,9.58,50%,Mar 2021,500096,,,
682,10889,8637,2252,21%,308,39,253,2269,23%,1742,9.84,53%,Mar 2022,500096,,,
683,11530,9367,2162,19%,445,78,311,2219,23%,1701,9.64,28%,Mar 2023,500096,,,
684,80821,72856,7965,10%,783,1758,2645,4345,18%,3608,17.74,9%,Mar 2012,500440,,,
685,80193,72494,7699,10%,1111,2079,2822,3909,23%,3007,15.81,6%,Mar 2013,500440,,,
686,87695,79671,8024,9%,677,2702,3347,2653,20%,2195,10.53,9%,Mar 2014,500440,,,
687,104281,95437,8844,8%,-832,4178,3493,340,75%,259,4.14,24%,Mar 2015,500440,,,
688,98759,90981,7778,8%,1500,5134,4347,-203,-245%,-702,-1.21,-82%,Mar 2016,500440,,,
689,100184,87867,12317,12%,1198,5742,4457,3315,43%,1882,8.47,13%,Mar 2017,500440,,,
690,115183,101488,13695,12%,2879,3911,4506,8157,25%,6083,27.10,4%,Mar 2018,500440,,,
691,130542,115031,15511,12%,1127,3778,4777,8083,32%,5495,24.48,5%,Mar 2019,500440,,,
692,118144,103838,14306,12%,906,4197,5091,5924,36%,3767,16.77,6%,Mar 2020,500440,,,
693,132008,116148,15860,12%,712,3738,6628,6206,44%,3483,15.50,19%,Mar 2021,500440,,,
694,195059,167183,27876,14%,1724,3768,6729,19103,28%,13730,61.10,6%,Mar 2022,500440,,,
695,223202,200536,22666,10%,1307,3646,7086,13241,24%,10097,44.93,0%,Mar 2023,500440,,,
696,1864,1173,691,37%,56,5,62,681,22%,533,20.09,32%,Mar 2012,532488,,,
697,2145,1329,816,38%,45,3,77,781,23%,602,22.67,33%,Mar 2013,532488,,,
698,2532,1514,1018,40%,68,3,92,991,22%,773,29.13,34%,Mar 2014,532488,,,
699,3115,1942,1173,38%,38,3,136,1072,21%,852,32.07,31%,Mar 2015,532488,,,
700,3776,2354,1423,38%,93,5,118,1393,19%,1126,42.41,24%,Mar 2016,532488,,,
701,4064,2615,1450,36%,72,3,123,1395,24%,1060,39.95,25%,Mar 2017,532488,,,
702,3891,2622,1269,33%,107,2,142,1231,29%,877,33.04,30%,Mar 2018,532488,,,
703,4946,3072,1874,38%,154,5,169,1855,27%,1353,50.96,31%,Mar 2019,532488,,,
704,5394,3568,1826,34%,186,7,186,1819,24%,1377,51.85,31%,Mar 2020,532488,,,
705,6969,4102,2867,41%,57,2,256,2666,26%,1984,74.75,27%,Mar 2021,532488,,,
706,8960,5075,3885,43%,112,2,312,3684,20%,2960,111.52,27%,Mar 2022,532488,,,
707,7768,5400,2368,30%,345,1,343,2369,23%,1823,68.69,44%,Mar 2023,532488,,,
708,5565,5540,25,0%,165,59,67,64,-100%,128,4165.47,0%,Mar 2012,539448,,,
709,9203,8348,855,9%,296,73,86,993,21%,787,25646.58,70%,Mar 2013,539448,,,
710,11117,10684,433,4%,391,123,226,475,0%,474,15454.07,80%,Mar 2014,539448,,,
711,13925,12022,1904,14%,395,150,302,1847,29%,1304,42481.11,83%,Mar 2015,539448,,,
712,16140,12976,3164,20%,515,350,505,2824,30%,1986,55.12,27%,Mar 2016,539448,,,
713,18580,16362,2219,12%,789,406,457,2144,23%,1659,45.90,74%,Mar 2017,539448,,,
714,23021,19991,3030,13%,947,413,437,3127,28%,2242,58.33,10%,Mar 2018,539448,,,
715,28497,28648,-151,-1%,1325,563,760,-149,205%,156,4.06,123%,Mar 2019,539448,,,
716,35756,31687,4069,11%,1531,1902,3974,-275,10%,-248,-6.45,0%,Mar 2020,539448,,,
717,14641,14638,2,0%,1036,2170,4699,-5830,0%,-5830,-151.46,0%,Mar 2021,539448,,,
718,25931,25373,558,2%,725,2386,5068,-6171,0%,-6171,-160.18,0%,Mar 2022,539448,,,
719,54446,47962,6485,12%,1431,3132,5101,-317,0%,-317,-8.21,0%,Mar 2023,539448,,,
720,1374,1008,366,27%,80,125,61,259,36%,162,6.31,0%,Mar 2018,542066,,,
721,1719,1264,455,26%,59,90,67,357,36%,229,2.08,12%,Mar 2019,542066,,,
722,1875,1280,595,32%,44,41,51,547,20%,436,3.97,6%,Mar 2020,542066,,,
723,1696,991,704,42%,30,40,63,631,25%,463,4.21,6%,Mar 2021,542066,,,
724,3038,2265,773,25%,42,53,83,679,26%,509,4.63,5%,Mar 2022,542066,,,
725,4378,3508,870,20%,37,78,113,715,26%,546,4.97,5%,Mar 2023,542066,,,
726,5641,3996,1646,29%,150,235,873,688,10%,618,177.54,11%,Jun 2012,500387,,,
727,5418,3857,1561,29%,187,193,436,1119,10%,1004,288.19,7%,Jun 2013,500387,,,
728,5715,4325,1390,24%,104,129,550,815,3%,787,225.98,10%,Jun 2014,500387,,,
729,6259,4916,1344,21%,102,121,925,401,-6%,426,122.38,20%,Jun 2015,500387,,,
730,5514,4107,1407,26%,673,76,828,1176,3%,1143,328.13,7%,Mar 2016,500387,,,
731,8594,6081,2513,29%,362,129,1215,1531,13%,1339,384.39,36%,Mar 2017,500387,,,
732,9826,7354,2473,25%,389,135,899,1827,24%,1384,397.33,13%,Mar 2018,500387,,,
733,11722,9066,2656,23%,64,247,1392,1081,12%,951,273.00,22%,Mar 2019,500387,,,
734,11904,8218,3686,31%,260,287,1699,1960,20%,1570,435.19,25%,Mar 2020,500387,,,
735,12669,8677,3992,32%,421,247,1140,3026,24%,2312,640.77,9%,Mar 2021,500387,,,
736,14306,10656,3650,26%,535,218,1036,2931,19%,2377,658.70,14%,Mar 2022,500387,,,
737,16837,13895,2942,17%,432,269,1546,1559,15%,1328,368.10,27%,Mar 2023,500387,,,
738,,546,,,52,990,10,289,42%,169,2.55,20%,Mar 2012,511243,1784,248,14%
739,,688,,,1,1410,22,452,32%,308,4.30,16%,Mar 2013,511243,2570,472,18%
740,,932,,,1,1769,25,554,34%,368,5.14,14%,Mar 2014,511243,3279,578,18%
741,,1061,,,0,1958,30,666,33%,444,6.18,11%,Mar 2015,511243,3715,696,19%
742,,1266,,,2,2048,22,879,35%,575,7.36,12%,Mar 2016,511243,4214,899,21%
743,,1322,,,3,2228,39,1107,35%,718,9.21,12%,Mar 2017,511243,4694,1143,24%
744,,1451,,,0,2657,51,1401,34%,918,11.76,11%,Mar 2018,511243,5559,1451,26%
745,,1632,,,1,3588,57,1832,35%,1197,15.32,8%,Mar 2019,511243,7108,1888,27%
746,,2421,,,0,4592,111,1588,34%,1054,12.86,13%,Mar 2020,511243,8712,1699,20%
747,,2913,,,56,4576,102,2048,26%,1521,18.55,11%,Mar 2021,511243,9583,2094,22%
748,,2926,,,84,4298,101,2908,26%,2154,26.23,8%,Mar 2022,511243,10148,2924,29%
749,,3634,,,221,5748,121,3603,26%,2665,32.42,2%,Mar 2023,511243,12884,3502,27%
750,,713,,,52,210,1,136,-1%,136,1.74,0%,Mar 2013,543066,1008,85,8%
751,,918,,,74,300,1,293,0%,293,3.73,0%,Mar 2014,543066,1438,220,15%
752,,1255,,,82,378,1,271,1%,267,3.40,15%,Mar 2015,543066,1822,189,10%
753,,1617,,,100,436,1,438,35%,284,3.62,28%,Mar 2016,543066,2392,339,14%
754,,2366,,,124,528,5,572,35%,373,4.75,21%,Mar 2017,543066,3347,452,14%
755,,3715,,,175,712,24,919,35%,601,7.66,0%,Mar 2018,543066,5195,769,15%
756,,4887,,,270,1009,55,1335,35%,865,10.33,10%,Mar 2019,543066,7017,1121,16%
757,,6618,,,471,1301,104,1730,28%,1245,13.26,8%,Mar 2020,543066,9281,1362,15%
758,,7223,,,413,1043,123,1324,26%,985,10.47,0%,Mar 2021,543066,9301,1034,11%
759,,7953,,,622,1027,149,2172,26%,1616,17.14,15%,Mar 2022,543066,10679,1699,16%
760,,9444,,,619,1648,164,3031,25%,2258,23.87,10%,Mar 2023,543066,13667,2575,19%
761,8489,6490,1998,24%,203,53,446,1701,28%,1227,8.00,40%,Dec 2011,500425,,,
762,9749,7276,2473,25%,69,78,569,1896,32%,1292,8.39,43%,Dec 2012,500425,,,
763,9161,7492,1669,18%,390,67,494,1498,15%,1278,8.27,44%,Dec 2013,500425,,,
764,9955,8022,1934,19%,419,66,513,1774,16%,1487,9.59,46%,Dec 2014,500425,,,
765,9437,7895,1542,16%,353,92,630,1173,31%,808,5.21,54%,Dec 2015,500425,,,
766,20094,16913,3181,16%,441,153,1461,2008,29%,1434,5.57,50%,Dec 2016,500425,,,
767,23609,19751,3858,16%,335,206,1219,2768,30%,1945,7.64,47%,Dec 2017,500425,,,
768,26041,22030,4011,15%,232,170,1154,2919,-2%,2973,10.97,14%,Dec 2018,500425,,,
769,27104,22507,4597,17%,601,170,1153,3875,28%,2783,10.55,14%,Dec 2019,500425,,,
770,24516,19511,5006,20%,288,140,1162,3992,22%,3107,11.91,151%,Dec 2020,500425,,,
771,28965,22755,6210,21%,252,146,1152,5164,28%,3711,14.00,45%,Dec 2021,500425,,,
772,38937,33815,5122,13%,447,195,1645,3729,19%,3024,13.01,0%,Mar 2023,500425,,,
773,7447,7091,356,5%,38,46,80,268,31%,185,8.71,34%,Dec 2011,500002,,,
774,7562,7212,350,5%,7,57,94,206,33%,137,6.48,46%,Dec 2012,500002,,,
775,7719,7230,489,6%,3,116,103,272,35%,177,8.35,36%,Dec 2013,500002,,,
776,7730,7154,576,7%,14,122,113,355,36%,229,10.78,34%,Dec 2014,500002,,,
777,8136,7402,734,9%,6,106,160,475,37%,300,14.15,26%,Dec 2015,500002,,,
778,8642,7932,710,8%,122,108,151,573,35%,374,17.67,23%,Dec 2016,500002,,,
779,6094,5669,425,7%,267,62,101,528,21%,420,19.82,22%,Dec 2017,500002,,,
780,6690,6224,466,7%,339,60,93,652,22%,511,24.11,20%,Dec 2018,500002,,,
781,7315,6777,538,7%,26,28,90,445,32%,303,14.32,34%,Dec 2019,500002,,,
782,5821,5553,268,5%,170,25,120,293,25%,219,10.35,48%,Dec 2020,500002,,,
783,6934,6368,566,8%,266,19,103,711,27%,520,24.53,21%,Dec 2021,500002,,,
784,8568,7600,968,11%,506,15,105,1353,25%,1016,47.96,11%,Dec 2022,500002,,,
785,9010,7951,1059,12%,248,14,107,1187,,888,41.91,,TTM,500002,,,
786,6452,5778,674,10%,25,128,95,476,22%,370,5.93,22%,Mar 2012,517354,,,
787,7135,6461,674,9%,222,123,110,664,12%,581,9.32,16%,Mar 2013,517354,,,
788,8051,7274,777,10%,35,102,116,594,25%,446,7.15,42%,Mar 2014,517354,,,
789,8468,7713,755,9%,48,96,139,569,32%,385,6.17,49%,Mar 2015,517354,,,
790,7594,6798,796,10%,949,91,134,1520,14%,1300,20.82,29%,Mar 2016,517354,,,
791,6130,5315,815,13%,42,13,121,723,32%,494,7.91,44%,Mar 2017,517354,,,
792,8116,7083,1033,13%,97,25,140,965,31%,661,10.60,4%,Mar 2018,517354,,,
793,10073,8885,1189,12%,124,16,149,1147,31%,788,12.59,36%,Mar 2019,517354,,,
794,9440,8374,1067,11%,107,51,218,904,19%,735,11.75,34%,Mar 2020,517354,,,
795,10457,8868,1589,15%,187,90,249,1438,27%,1044,16.68,39%,Mar 2021,517354,,,
796,13938,12163,1775,13%,159,67,261,1607,26%,1196,19.10,39%,Mar 2022,517354,,,
797,16911,15312,1599,9%,178,34,296,1447,26%,1072,17.11,44%,Mar 2023,517354,,,
798,5914,5280,635,11%,598,5,126,1103,23%,847,1.07,20%,Mar 2012,500049,,,
799,6273,5604,669,11%,622,7,136,1147,21%,911,1.15,20%,Mar 2013,500049,,,
800,6518,5593,925,14%,438,7,150,1206,21%,952,1.20,20%,Mar 2014,500049,,,
801,7093,5913,1179,17%,507,7,166,1513,21%,1197,1.51,20%,Mar 2015,500049,,,
802,7354,5961,1393,19%,573,10,192,1764,24%,1337,1.69,31%,Mar 2016,500049,,,
803,8656,6864,1792,21%,420,18,212,1983,24%,1523,2.07,33%,Mar 2017,500049,,,
804,10401,8361,2039,20%,196,6,272,1957,28%,1431,1.96,34%,Mar 2018,500049,,,
805,12164,9255,2909,24%,73,16,338,2628,30%,1887,2.58,44%,Mar 2019,500049,,,
806,12968,10209,2759,21%,99,8,372,2478,28%,1825,2.50,37%,Mar 2020,500049,,,
807,14109,10895,3214,23%,125,10,387,2942,30%,2100,2.87,46%,Mar 2021,500049,,,
808,15368,12024,3344,22%,232,9,401,3166,26%,2400,3.28,46%,Mar 2022,500049,,,
809,17734,13649,4086,23%,281,15,429,3923,25%,2986,4.08,29%,Mar 2023,500049,,,
810,212140,207178,4961,2%,1308,2259,2411,1599,47%,851,3.60,55%,Mar 2012,500547,,,
811,242181,235472,6709,3%,1492,2518,2463,3220,40%,1936,8.67,42%,Mar 2013,500547,,,
812,264421,255007,9414,4%,1344,1982,2611,6166,34%,4053,18.03,31%,Mar 2014,500547,,,
813,242598,232818,9780,4%,2117,1180,3027,7690,34%,5082,22.16,34%,Mar 2015,500547,,,
814,187815,174844,12971,7%,1913,680,2072,12132,33%,8089,37.29,25%,Mar 2016,500547,,,
815,201251,187468,13783,7%,2721,696,2108,13700,31%,9507,40.20,49%,Mar 2017,500547,,,
816,235895,220578,15317,6%,2927,1186,2885,14174,31%,9792,41.53,46%,Mar 2018,500547,,,
817,298226,283113,15112,5%,2975,1764,3418,12905,34%,8528,35.97,48%,Mar 2019,500547,,,
818,284572,275597,8975,3%,1393,2637,4080,3652,-0%,3666,14.08,106%,Mar 2020,500547,,,
819,230171,209170,21001,9%,7489,1723,4334,22432,23%,17320,74.52,102%,Mar 2021,500547,,,
820,346791,327654,19137,6%,4939,2606,5434,16037,27%,11682,53.85,29%,Mar 2022,500547,,,
821,473187,462299,10888,2%,2047,3745,6369,2821,24%,2131,9.82,0%,Mar 2023,500547,,,
822,295,12,284,96%,-8,0,0,275,28%,1679,150.88,17%,Mar 2012,500490,,,
823,337,15,322,95%,3,0,2,322,21%,1856,166.80,15%,Mar 2013,500490,,,
824,423,23,400,94%,5,0,5,400,20%,1988,178.59,17%,Mar 2014,500490,,,
825,524,40,484,92%,35,0,6,513,19%,2029,182.33,19%,Mar 2015,500490,,,
826,470,42,429,91%,7,0,5,430,21%,2265,203.54,16%,Mar 2016,500490,,,
827,842,215,628,75%,8,0,5,630,21%,2473,222.22,15%,Mar 2017,500490,,,
828,420,65,355,85%,2390,0,5,2739,3%,2655,238.54,17%,Mar 2018,500490,,,
829,431,85,347,80%,2827,0,4,3170,4%,3048,273.90,12%,Mar 2019,500490,,,
830,435,134,301,69%,3058,13,33,3314,7%,3080,268.84,15%,Mar 2020,500490,,,
831,457,106,352,77%,3451,4,34,3766,3%,3654,327.95,12%,Mar 2021,500490,,,
832,484,117,367,76%,3896,3,34,4226,2%,4126,364.41,32%,Mar 2022,500490,,,
833,464,142,322,69%,4730,7,34,5012,1%,4946,435.83,28%,Mar 2023,500490,,,
834,7021,5325,1696,24%,103,38,312,1448,21%,1144,14.25,14%,Mar 2012,500087,,,
835,8279,6065,2214,27%,245,34,330,2095,26%,1545,19.24,10%,Mar 2013,500087,,,
836,10173,8026,2147,21%,251,146,373,1880,25%,1404,17.29,12%,Mar 2014,500087,,,
837,11345,9183,2163,19%,164,168,505,1654,24%,1229,14.71,14%,Mar 2015,500087,,,
838,13790,11310,2480,18%,208,207,754,1727,19%,1383,16.93,12%,Mar 2016,500087,,,
839,14394,11898,2496,17%,208,159,1323,1222,15%,1035,12.51,16%,Mar 2017,500087,,,
840,15156,12329,2826,19%,280,114,1323,1669,15%,1417,17.52,17%,Mar 2018,500087,,,
841,16362,13265,3097,19%,477,168,1326,2079,27%,1492,18.96,16%,Mar 2019,500087,,,
842,17132,13926,3206,19%,344,197,1175,2178,29%,1500,19.18,21%,Mar 2020,500087,,,
843,19160,14907,4252,22%,266,161,1068,3290,27%,2389,29.82,17%,Mar 2021,500087,,,
844,21763,17211,4553,21%,99,106,1052,3493,27%,2547,31.19,16%,Mar 2022,500087,,,
845,22753,17726,5027,22%,293,110,1172,4038,30%,2833,34.71,24%,Mar 2023,500087,,,
846,9814,7371,2444,25%,-7,114,518,1804,28%,1301,76.72,18%,Mar 2012,500124,,,
847,11833,9164,2669,23%,146,100,550,2165,29%,1527,89.90,17%,Mar 2013,500124,,,
848,13415,10164,3251,24%,170,127,648,2646,26%,1963,115.41,16%,Mar 2014,500124,,,
849,15023,11515,3508,23%,260,108,760,2900,19%,2336,137.13,15%,Mar 2015,500124,,,
850,15568,11983,3585,23%,295,83,939,2859,26%,2131,124.88,16%,Mar 2016,500124,,,
851,14196,11724,2472,17%,172,63,1027,1554,19%,1292,77.96,26%,Mar 2017,500124,,,
852,14281,11930,2351,16%,155,79,1077,1350,32%,947,57.07,35%,Mar 2018,500124,,,
853,15448,12270,3178,21%,381,89,1135,2336,17%,1950,117.42,17%,Mar 2019,500124,,,
854,17517,15040,2477,14%,670,98,1163,1886,-7%,2026,121.92,21%,Mar 2020,500124,,,
855,19048,15173,3874,20%,335,97,1229,2884,32%,1952,117.35,21%,Mar 2021,500124,,,
856,21545,17778,3768,17%,555,96,1165,3061,29%,2182,131.14,23%,Mar 2022,500124,,,
857,24670,18321,6349,26%,1092,143,1250,6048,25%,4507,270.66,15%,Mar 2023,500124,,,
858,4004,3170,835,21%,28,117,184,562,33%,379,13.19,22%,Mar 2012,503806,,,
859,3783,3169,614,16%,42,100,209,348,27%,253,8.81,23%,Mar 2013,503806,,,
860,4018,3513,505,13%,24,96,225,208,22%,162,5.66,36%,Mar 2014,503806,,,
861,4540,3822,717,16%,65,138,245,399,24%,303,10.55,19%,Mar 2015,503806,,,
862,4593,3630,963,21%,28,130,275,585,27%,430,14.97,14%,Mar 2016,503806,,,
863,4822,3852,969,20%,73,102,283,657,22%,515,17.94,14%,Mar 2017,503806,,,
864,5589,4683,906,16%,115,124,316,582,21%,462,16.08,15%,Mar 2018,503806,,,
865,7100,5803,1297,18%,78,198,358,818,22%,642,22.33,11%,Mar 2019,503806,,,
866,7209,5754,1455,20%,152,201,389,1018,-0%,1019,35.46,8%,Mar 2020,503806,,,
867,8400,6267,2133,25%,66,134,453,1612,26%,1198,40.44,12%,Mar 2021,503806,,,
868,12434,9330,3103,25%,116,116,517,2586,27%,1889,63.72,26%,Mar 2022,503806,,,
869,14870,11341,3529,24%,75,205,575,2824,23%,2162,72.95,10%,Mar 2023,503806,,,
870,6640,6017,623,9%,117,70,96,574,25%,417,5.76,37%,Mar 2012,500800,,,
871,7351,6581,770,10%,56,84,105,637,26%,445,6.03,36%,Mar 2013,500800,,,
872,7738,6986,752,10%,170,87,129,707,26%,510,7.77,29%,Mar 2014,500800,,,
873,7993,7201,792,10%,-77,82,133,500,43%,273,4.01,6%,Mar 2015,500800,,,
874,6637,6271,366,6%,38,117,117,170,118%,-37,-0.09,"-2,572%",Mar 2016,500800,,,
875,6780,5988,791,12%,88,92,126,662,30%,455,6.17,38%,Mar 2017,500800,,,
876,6815,5976,839,12%,73,43,116,753,25%,556,7.85,30%,Mar 2018,500800,,,
877,7252,6466,786,11%,124,52,123,735,36%,457,6.47,39%,Mar 2019,500800,,,
878,9637,8345,1292,13%,-163,78,242,809,34%,460,4.99,54%,Mar 2020,500800,,,
879,11602,10058,1544,13%,91,69,255,1311,24%,930,9.30,44%,Mar 2021,500800,,,
880,12425,10707,1719,14%,88,73,278,1456,26%,1015,10.15,60%,Mar 2022,500800,,,
881,13783,11927,1856,13%,328,87,304,1794,25%,1320,12.96,65%,Mar 2023,500800,,,
882,44093,37054,7040,16%,722,366,1041,6355,31%,4444,6.57,25%,Mar 2012,532155,,,
883,50974,43547,7427,15%,887,437,1319,6558,34%,4367,6.46,28%,Mar 2013,532155,,,
884,61765,53777,7988,13%,1247,669,1644,6922,32%,4786,7.07,28%,Mar 2014,532155,,,
885,60557,54926,5631,9%,945,652,1433,4492,32%,3160,4.67,24%,Mar 2015,532155,,,
886,52053,47517,4536,9%,731,822,1496,2949,37%,1874,2.76,37%,Mar 2016,532155,,,
887,48552,42531,6021,12%,1212,509,1541,5183,35%,3374,4.98,56%,Mar 2017,532155,,,
888,54496,46695,7802,14%,948,295,1527,6928,31%,4805,7.09,43%,Mar 2018,532155,,,
889,76190,66252,9938,13%,1719,159,1667,9831,33%,6553,9.68,25%,Mar 2019,532155,,,
890,72518,63495,9022,12%,3796,309,2080,10429,9%,9515,13.93,31%,Mar 2020,532155,,,
891,57372,50127,7245,13%,2833,179,2174,7725,20%,6143,9.21,36%,Mar 2021,532155,,,
892,92770,77608,15161,16%,2925,202,2420,15464,20%,12304,18.40,36%,Mar 2022,532155,,,
893,145875,138387,7488,5%,2837,367,2702,7256,23%,5596,8.54,0%,Mar 2023,532155,,,
894,3980,3495,485,12%,30,42,73,400,20%,322,2.58,14%,Mar 2012,531642,,,
895,4596,3970,626,14%,70,58,87,552,26%,406,3.07,16%,Mar 2013,531642,,,
896,4687,3939,748,16%,58,34,77,695,27%,504,3.76,46%,Mar 2014,531642,,,
897,5733,4863,870,15%,59,23,84,822,29%,585,4.45,28%,Mar 2015,531642,,,
